Sample_ID,Model,Protocol,Experiment
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
AD3950-S1,CT26,fresh,EXP-17-AD3950
